"name",lat,lng,url
"Das tägliche Kreuz",48.076837,7.77553,"http://lh3.ggpht.com/0moxL0kCidhHdYGu-s4xvn0YpGNcBpG5RfvUATWxvRoMgKrj5V2bup6bvxRssOlDbJFWResuF8-xsI6k0xk0"
"Den gefallenen Helden",48.103057,7.776976,"http://lh5.ggpht.com/PQOEWBOjkD_iccJP4eduIDSt4ncIceaY4TSk3g_Vga7Axo6Em-TkFMfxI3PgrmOJ8W3a_mABrchrKm02G-Mr"
"INRI",48.083719,7.922833,"http://lh3.googleusercontent.com/7cvNS1gl9WrFD_4XjImpNhS3BJBvmf53ai4h144ZDy2sCYw-KQ6CKHtvhrvGuFXWoUg950hbKh4hGj_kGbk"
"Spielplatz",48.080929,7.81188,"http://lh3.googleusercontent.com/Vn99VJfYhBv2RT2A5zdNvZAD51ICTJqdfOPB1DYH8uP2aTPFJt9FP2VYU2GeZkNhEUGaZzl48RlHgDPDmmLc"
"Friedhof Kollmarsreute",48.103537,7.88377,"http://lh4.ggpht.com/0BU5lbpoZ8rpvpfOpcPCuUHQvAhH5ETAXt9pbEE9-GnHkX_HbRcJsvXYl3CNREd9gVeOlD-mw4SJDfC_d5wW2TVC1JlEbvniI_a8qLyZru8iRG8g"
"Weinlehrpfad Weiterentwicklung des Weinbaus",48.088313,7.910442,"http://lh3.ggpht.com/bXVG91fJEa_PUrWilwciihw2ggC6I3wBd4eP4xN_dlLAZZ5xcuYcL_KpT7uA35s9W-x-iS7kJcRLC6kp_-Q"
"Weinlehrpfad Blauer Spätburgunder",48.089191,7.916167,"http://lh6.ggpht.com/hGFTYd4TEOOGo_STHohF5fwNxfXVGxMlgNZ-nbwxMvuJoYKgDBb-ygjd8d6T64Dgnurn-eNi7G6geQSDFT2shA"
"Weinlehrpfad Müller Thurgau",48.08857,7.919301,"http://lh5.ggpht.com/OHuFIy1570ybGU7Hs7VQ8fehmx1KkH5Jjv5OTmTZ5mUHwuu4S3xznY3nHYHdLULpMzsqXPSaxc63q50k-K5URQ"
"Weinlehrpfad Kerner",48.090771,7.908904,"http://lh6.ggpht.com/NZS4OrQb-vQeXSemw3KGJzUCONJEIvixuD7lpeFnSkmopGirgRtA4YJLzH7A6S7iLyj0Q15x53uOFDC6c-zw"
"Segelschiff",48.109477,7.860328,"http://lh4.ggpht.com/jlA8ZPK4f7TfwyfLEqlCCqhX7dtkvZGofGfiSjys2JrmFJ5DeuJMLZobBVKyX1h3cDWbcI7cdHhcu08Q-h_o"
"Life ",48.109696,7.85404,"http://lh4.ggpht.com/PgRu12X9L9o6d5-pDihM57SrjSQT3l2RHtB_5tmRcVnT4AyKS9s6I33o0vYFlOE9mU3ohQFvs2LaC-XmoTIb3Q"
"Steinfrosch",48.105823,7.862451,"http://lh3.ggpht.com/X0j8HGCg3mvJbTFQNOQ3LK-xZ9wV30ZS7km9dPlQXtcv4v1maVW23t5kYNurMTZl8T3XARGZ5ILKl6xgpOeH6Q"
"Kriegsdenkmal",48.10228,7.906718,"http://lh3.ggpht.com/A6WIqje2TgD3DXLUxYR9W_vOtEPK1IaRcVQxA3pM___TESMVk8598ej2lXQvwLbJlmyGOdZIOaGPqoMWbpMWjjZFVQJqn-n3RBNtIpsOSUP-CdA"
"Riesenrutsche",48.097584,7.899054,"http://lh5.ggpht.com/jf-ndR1BNlKzc4ZhuGL6hn0-vfptcGOb3wIQ5nUvgN5Xmi4z6M7CRzs_zBXQgFSAdPP9vXLSjp0c9xALdk5c"
"Trotte von 1868 (Waldkirch-Buchholz)",48.080502,7.912694,"http://lh4.ggpht.com/XtrJaNagWTvkU0bQUnsn5IMBl6TnH92CgGRbkYSHs5R2JAf0c1JjMHOSb5My9GVnwmxUGWpja8GYYa6_yfjF"
"Weinlehrpfad Vertiko-Erziehung",48.087692,7.914463,"http://lh4.ggpht.com/VJCiB7h7ZlXLKY_7R5EvatFpVGLls7vMfNWebxl3J8z9K7ekBtB0b42ECz1TIR6_PLyWh0_muhqAXGsFqvyd-A"
"Brunnen vorm Hirsch",48.080963,7.917604,"http://lh6.ggpht.com/dK_geVeC9U6P7WicgV3M7i17fVaSSrikwuK6nLyZB9plpn5onV-ufTt0hqDqpVySSStfPJypTwP4B8Jj8GA"
"Bahnhof Buchholz (Baden)",48.083459,7.915987,"http://lh4.ggpht.com/_hu0UoM9dSHtFUDGqE-oWKXMSFX2w6q6QpfLVbzRl8M6_-wKMV1koc73-OOjQN4o6XCxhP9tCHzBTExb3nxp"
"Nepomuk",48.08261,7.82781,"http://lh3.googleusercontent.com/qeXd0fM3x20z9ZJAA8h4ZPFZVdezJap4s99g8C7mZGwQC-ZF_mpBOE0g1w7ACpuf91Xk5eSNviNKPDzdIUbC"
"650 Jahr Brunnen",48.102046,7.878712,"http://lh6.ggpht.com/YQCEljoZIH-fuqgaLgJwR1y0Ivlcg4Hs8zf2FdfpgjIk51Jo1aXGunnqPlUy-VIe7Tc4RVBSTElK4TmVZCeXFEpfUmO8vXsFNEXm9gvbm3ZJphZZ"
"Elzhalle",48.098197,7.859177,"http://lh3.googleusercontent.com/mui00-6krhlEm5bP45yE71q02NCQwFSWx5CfOXbSQEfPQL64nDVvsUbTnmDtTlJ-uaUw4PxoNHP2e8OJBj8"
"Kreisverkehr",48.09336,7.898244,"http://lh6.ggpht.com/3Pow0tsRRD1v5dQpmMy4iZKK66-Nds2yVFNYL2f6Boy2YR5HGx0DutKBRccK9YNBygkWPguYta2PdI5gy2Y"
"Wandgemälde",48.094032,7.898444,"http://lh6.ggpht.com/MTKu8ra5FaHPlbX82LqeKu3NWhG1ocSXPxEqRCzPVFPtXJcW9dTpjvRn2YWjBMqiX9SI3w0acktkeX8inkQ"
"Spielplatz",48.103232,7.867361,"http://lh3.googleusercontent.com/OmzyJARbrrh-3fKqdb2rOUre7YJ7DKSvA022QAsZ4zG5vO35xVzWU-3JtnTZid4ZBuLtASk9UHtn-STdknw"
"Metal Apple",48.105222,7.866187,"http://lh3.googleusercontent.com/kIgvdgFwVmvCrSN9QxjNevBMsBUR3FId5Srkb0OTRZmjkbo6VNoye01ilb_XfXAHkH4Tu_wU-8BaPRbI5B3y"
"St. Johannes Kirche",48.107253,7.864616,"http://lh3.googleusercontent.com/snsTiWCUxxsbxDknTRfQ5H-UfkixB3HIGBvypw39YUsAeGFc2RBESU2wmaitVYaOGMpOhVAuKnPjboaphNhR"
"Rindvieh",48.125084,7.836029,"http://lh3.ggpht.com/u_CaglcT5dXFxOdjtA7czVePbczCWq_oxoXF3S0T5uWCbcqO8XQ9qDwYjxZeoEzb-3rgQ_M3N3SXNjL3YLfg"
"Kriegerdenkmal",48.124807,8.005381,"http://lh4.ggpht.com/F3lEfOxAd1GKv_T8jp8AAsKPxcKwGipj43whu9na4vcwBM-P56dyy6SWEm0h_5E_BQ9bp960myT4HT5q9AM"
