name,lat,lng,url
Ziegelhof Brunnen,48.10274,7.774504,http://lh3.googleusercontent.com/_dgclLJAXN_bK9a_FPiWRC5rcR60EToFJLM7cESX0dNDwjc4xb3BvLswMSYlJyz0y70UQu_2ThJSJkNhjloR
Spuren suchen 6 - Lebensraum Wald,48.075615,7.898776,http://lh3.googleusercontent.com/IzTDkTPXvqZKgpx00PSjlcuuzvfxEQNzVyq1awiXRtSaeLS03kvo2PI0lxKqy3x5HqInwpw-75Qsi7V7pNmyeg
Severinskapelle (Mauracher Berg),48.076391,7.900262,http://lh6.ggpht.com/N8VabtkYSeYIiPj9N9lLtcUpW-aoVFtS1_7utxrcUnKQLdU1tgJYUJ4z5r5WV8DECHNRaaQFfMts-UdI9W9ZpmNDm66IHGbFmtByVNhMOGwPtg
Steinbrunnen,48.098755,7.745926,http://lh4.ggpht.com/_WK3Rm0Wk5E5d9oXanXtYw_fXZmtcySHbLXHbdOAIW7keCatYkSfzdqE8_w8-NorHxLhsuwtPBGHYjnKhxw
Willkommen in Eichstetten,48.096377,7.745053,http://lh5.ggpht.com/GMAWLsX8K2caT1TTiC0x4rWHi-g-ohZQusPwTosDVWbWsD56HvGXALFxjoKvNGJTNqTMtgwvcNAmh4-QjuSb
Marie Mit Bachus,48.086239,7.921602,http://lh3.googleusercontent.com/gbqmITJuvkhmC8tCCVqbRmAM2mOn_VD0NKqpEPpak_0alUyfVDIkj-tedLagQZFTcAgptTnIpf-nr2I6DoA
Rebschädlinge,48.087095,7.920109,http://lh6.ggpht.com/VMofrYITKob3RwFIONZzT9e1lJYvuovYb5TQvTbXj4MBnZvqj0FZUjxTlyEc1PweONOhFpvM688gvkIVO34X
Weinlehrpfad Rebkrankheiten,48.08688,7.921163,http://lh6.ggpht.com/MnGoImpYsiGh_YTOPawDoDWRoDw0w28lJBLRC13bFqLGbrZqPPf5TA6oNgmXA1rT-3wUgEZjmrbhoCJ1EnvW
Ältere Halle,48.094926,7.876902,http://lh3.googleusercontent.com/7lNhLCg7e2Dm6Tru_3SJaxHTQrOJ6fp14fWYFW10ft10ghtDAf4bjWrqW2HSOvVUPjVaIDnKiPxegT-r_G8S
Historischer Bottich,48.084343,7.809989,http://lh3.ggpht.com/qJMrQmuVWtEczvPHjYXYRGtMuTiWkjB3TAw8bOyIkukugWjauQQGQ6QdpRtWfNTM_yg-NexyDebCDB1Wd1WU
Buchholz Boden Landschaft Klima,48.087851,7.91758,http://lh4.ggpht.com/uWCVlKE_Se3iwe0Z5dwK9o6i0hvsG82dPmBJiBp596BNzrVycEYVdkVIl6SZf8DB0sQqWeVERtw947U_uYq0
Weinlehrpfad Aussichtspunkt Wachtbühl,48.088338,7.912561,http://lh3.ggpht.com/uPw1DaYCTTf49UBXwxn1f9vTPUwdpQIIncNEjhq0cX3hqPmcMZxz2Sl_u5oWyGEC4SMDJbMybi-Fkulq8Bt0
Weinlehrpfad - Chardonnay,48.08893,7.919714,http://lh3.ggpht.com/nW51BVLvTdLMPkEOwLiPz7uJxAgA_zR9211BPpm_doANgUjxhqlOFBn5q892T-JPbw7U4goR1VpDAQzjW7WX
Weinlehrpfad Rebenneuanlage,48.089139,7.917467,http://lh6.ggpht.com/wpx3asDo6FWbUSiVOmy_u0h1-AvW9yEXqdHylyxVuJrUXuidDLPlUCccjtb8oS_KxQgM1t26mdwuUtFB5T1z
Buchholz Schillerwein,48.089116,7.909071,http://lh3.ggpht.com/7k6JbEmL9sntfwNuee-wCc6Vg4GNS1cUOlMCdmYQyjzsoUAwCZgGuzfbxvLmdxPHeEXENZwNZe5Tu-efKjs8
Weinlehrpfad Weinlese,48.089627,7.908861,http://lh4.ggpht.com/LeNMQQjhlY5KcAer6h8eoNCZCfeJhBgOjuuhBMuLiDA13Nmc6O-bDZEV0mGAOkv4iDSPAqjnbslosnxgMatR
Das Gärtchen ,48.107668,7.862464,http://lh3.googleusercontent.com/yDJuF9OsBLIk191CYV1Z2b-_wHHENaXyv3KbnS5zjIs41XsLbAkL1wQemsYFIsaSGArCQCL-JEdQAcrcR0Q8LQ
Old Niemännle ,48.10581,7.861147,http://lh4.ggpht.com/AoCKvcyjwcSxtpLv9sWrs_lvu6YGPd76pGhsj8bybPjwUm_3Rqoenq6R2voIP71qnvkgsCi5GwfezQ1xQUoR
Funkpark,48.103809,7.855196,http://lh3.googleusercontent.com/NQTHUNdZo_6xllLHz9WJHgYPxnY2I0SYlqG6NagF8uUf1KJCiQykkW6VND-R-gihQKpkIuuXjAW8zy4SSQQRYw
Watchtower,48.109688,7.856886,http://lh3.googleusercontent.com/jvZEx95koZOtFxtrqLOaZlqSP3V6m4fswB3qMm8xVurEgaIK5B24LjjmwCDp1UOY2K6LQJTAhwXfgOx8tJxE3A
Disco Wand,48.107166,7.861142,http://lh3.googleusercontent.com/F31utmKLRA4ZOcLZNVjkHiq2Sp_BwKaTNmuzq5u8_I689BOQ8SatAuRpo9mbj8h8SfTDYpoQEfZnS5D9MkfPRg
Stahlfigur,48.108752,7.860753,http://lh3.googleusercontent.com/WTFxuUJb_aYHRwLZjvF_FcPeYlmJUUXRnRLTdyz6I6zabrRPtfojlehSe-NRVC3aKa_PqoII58SlEAcM8fFU
Metallköpfe,48.108746,7.854017,http://lh6.ggpht.com/cVygFTRx1gqdkBbWyKFyf1D0ABKHGe3Rtn2TuyRaXtocb9OXIyxYIC5SYHNIQZdjoGueiMiiQtY690rwR6k
Baumskulptur aus Stahl mit Namensblättern,48.109974,7.848813,http://lh3.googleusercontent.com/SME8MFa69FLDly3icHhontQfSV2TWjj3aQJKc36Z74JrICy-hf-QUaRSPTYWvLIb4e1ZMG1JIq4qGjqWZIzJ7Q
Tafelberg Emmendingen,48.109906,7.849249,http://lh3.googleusercontent.com/SuCT2FqDtTflrDfs15OvMqMhQDBJYtyr4mP1VT5YgRWUGF_UTOuKWgIPu43VfyILzqFEV_lGYrckEigxzM6T
